x,y,headinng,sonar_ang,read,expected
60.0,68.0,-90.0,-23.0,60.0,60.33049774169922
60.0,68.0,-90.0,-24.0,60.0,60.45058822631836
60.0,68.0,-90.0,-25.0,60.0,60.58965301513672
60.0,68.0,-90.0,-26.0,60.0,60.74790954589844
60.0,68.0,-90.0,-27.0,60.0,60.92559814453125
60.0,68.0,-90.0,-28.0,60.0,61.12300109863281
60.0,68.0,-90.0,-29.0,61.0,61.34043502807617
60.0,68.0,-90.0,-30.0,61.0,61.5782470703125
60.0,68.0,-90.0,-31.0,61.0,61.83681869506836
60.0,68.0,-90.0,-32.0,61.0,62.11656951904297
60.0,68.0,-90.0,-33.0,62.0,62.417964935302734
60.0,68.0,-90.0,-34.0,62.0,62.74150466918945
60.0,68.0,-90.0,-35.0,62.0,63.08773422241211
60.0,68.0,-90.0,-36.0,62.0,63.45724105834961
60.0,68.0,-90.0,-37.0,92.0,63.85066604614258
60.0,68.0,-90.0,-38.0,92.0,64.2686996459961
60.0,68.0,-90.0,-39.0,92.0,64.71208190917969
60.0,68.0,-90.0,-40.0,92.0,65.1816177368164
60.0,68.0,-90.0,-41.0,92.0,65.67817687988281
60.0,68.0,-90.0,-42.0,92.0,66.20267486572266
60.0,68.0,-90.0,-43.0,92.0,66.75611877441406
60.0,68.0,-90.0,-44.0,92.0,67.3395767211914
60.0,68.0,-90.0,-45.0,92.0,67.95420837402344
60.0,68.0,-90.0,-46.0,92.0,68.60124206542969
60.0,68.0,-90.0,-47.0,92.0,69.28203582763672
60.0,68.0,-90.0,-48.0,91.0,69.99800872802734
60.0,68.0,-90.0,-49.0,91.0,70.75070190429688
60.0,68.0,-90.0,-50.0,91.0,71.54179382324219
60.0,68.0,-90.0,-51.0,91.0,72.37307739257812
60.0,68.0,-90.0,-52.0,91.0,72.83786010742188
60.0,68.0,-90.0,-53.0,91.0,72.36408996582031
60.0,68.0,-90.0,-54.0,91.0,71.91820526123047
60.0,68.0,-90.0,-55.0,91.0,71.49942779541016
60.0,68.0,-90.0,-56.0,91.0,71.10704040527344
60.0,68.0,-90.0,-57.0,72.0,70.74036407470703
60.0,68.0,-90.0,-58.0,72.0,70.3987808227539
60.0,68.0,-90.0,-59.0,91.0,70.08172607421875
60.0,68.0,-90.0,-60.0,73.0,69.78868103027344
60.0,68.0,-90.0,-61.0,71.0,69.51915740966797
60.0,68.0,-90.0,-62.0,70.0,69.27273559570312
60.0,68.0,-90.0,-63.0,69.0,69.04901123046875
60.0,68.0,-90.0,-64.0,70.0,68.84762573242188
60.0,68.0,-90.0,-65.0,70.0,68.66827392578125
60.0,68.0,-90.0,-66.0,70.0,68.51066589355469
60.0,68.0,-90.0,-67.0,69.0,68.37456512451172
60.0,68.0,-90.0,-68.0,69.0,68.25975036621094
60.0,68.0,-90.0,-69.0,69.0,68.16604614257812
60.0,68.0,-90.0,-70.0,69.0,68.09332275390625
60.0,68.0,-90.0,-71.0,69.0,68.04145050048828
60.0,68.0,-90.0,-72.0,68.0,68.01036071777344
