x,y,headinng,sonar_ang,read,expected
50.0,50.0,0.0,90.0,50.0,50.0
50.0,50.0,0.0,89.0,48.0,50.0
50.0,50.0,0.0,88.0,52.0,50.0
50.0,50.0,0.0,87.0,53.0,50.0
50.0,50.0,0.0,86.0,50.0,50.0
50.0,50.0,0.0,85.0,55.0,50.0
50.0,50.0,0.0,84.0,51.0,50.0
50.0,50.0,0.0,83.0,51.0,50.0
50.0,50.0,0.0,82.0,54.0,50.0
50.0,50.0,0.0,81.0,49.0,50.0
50.0,50.0,0.0,80.0,57.0,50.0
50.0,50.0,0.0,79.0,56.0,50.0
50.0,50.0,0.0,78.0,53.0,50.0
50.0,50.0,0.0,77.0,44.0,50.0
50.0,50.0,0.0,76.0,52.0,50.0
50.0,50.0,0.0,75.0,53.0,50.0
50.0,50.0,0.0,74.0,57.0,50.0
50.0,50.0,0.0,73.0,45.0,50.0
50.0,50.0,0.0,72.0,53.0,50.0
50.0,50.0,0.0,71.0,48.0,50.0
50.0,50.0,0.0,70.0,51.0,50.0
50.0,50.0,0.0,69.0,57.0,50.0
50.0,50.0,0.0,68.0,53.0,50.0
50.0,50.0,0.0,67.0,53.0,50.0
50.0,50.0,0.0,66.0,50.0,50.0
50.0,50.0,0.0,65.0,48.0,50.0
50.0,50.0,0.0,64.0,58.0,50.0
50.0,50.0,0.0,63.0,44.0,50.0
50.0,50.0,0.0,62.0,51.0,50.0
50.0,50.0,0.0,61.0,49.0,50.0
50.0,50.0,0.0,60.0,53.0,50.0
50.0,50.0,0.0,59.0,53.0,50.0
50.0,50.0,0.0,58.0,51.0,50.0
50.0,50.0,0.0,57.0,48.0,50.0
50.0,50.0,0.0,56.0,58.0,50.0
50.0,50.0,0.0,55.0,54.0,50.0
50.0,50.0,0.0,54.0,60.0,50.0
50.0,50.0,0.0,53.0,54.0,50.0
50.0,50.0,0.0,52.0,61.0,50.0
50.0,50.0,0.0,51.0,58.0,50.0
50.0,50.0,0.0,50.0,53.0,50.0
50.0,50.0,0.0,49.0,55.0,50.0
50.0,50.0,0.0,48.0,57.0,50.0
50.0,50.0,0.0,47.0,53.0,50.0
50.0,50.0,0.0,46.0,54.0,50.0
50.0,50.0,0.0,45.0,65.0,50.0
50.0,50.0,0.0,44.0,53.0,50.0
50.0,50.0,0.0,43.0,51.0,50.0
50.0,50.0,0.0,42.0,55.0,50.0
50.0,50.0,0.0,41.0,58.0,50.0
50.0,50.0,0.0,40.0,57.0,50.0
50.0,50.0,0.0,39.0,51.0,50.0
50.0,50.0,0.0,38.0,53.0,50.0
50.0,50.0,0.0,37.0,56.0,50.0
50.0,50.0,0.0,36.0,56.0,50.0
50.0,50.0,0.0,35.0,51.0,50.0
50.0,50.0,0.0,34.0,54.0,50.0
50.0,50.0,0.0,33.0,50.0,50.0
50.0,50.0,0.0,32.0,55.0,50.0
50.0,50.0,0.0,31.0,59.0,50.0
50.0,50.0,0.0,30.0,56.0,50.0
50.0,50.0,0.0,29.0,55.0,50.0
50.0,50.0,0.0,28.0,48.0,50.0
50.0,50.0,0.0,27.0,54.0,50.0
50.0,50.0,0.0,26.0,51.0,50.0
50.0,50.0,0.0,25.0,53.0,50.0
50.0,50.0,0.0,24.0,52.0,50.0
50.0,50.0,0.0,23.0,50.0,50.0
50.0,50.0,0.0,22.0,50.0,50.0
50.0,50.0,0.0,21.0,51.0,50.0
50.0,50.0,0.0,20.0,49.0,50.0
50.0,50.0,0.0,19.0,52.0,50.0
50.0,50.0,0.0,18.0,49.0,50.0
50.0,50.0,0.0,17.0,53.0,50.0
50.0,50.0,0.0,16.0,53.0,50.0
50.0,50.0,0.0,15.0,55.0,50.0
50.0,50.0,0.0,14.0,59.0,50.0
50.0,50.0,0.0,13.0,52.0,50.0
50.0,50.0,0.0,12.0,55.0,50.0
50.0,50.0,0.0,11.0,50.0,50.0
50.0,50.0,0.0,10.0,49.0,50.0
50.0,50.0,0.0,9.0,40.0,50.0
50.0,50.0,0.0,8.0,48.0,50.0
50.0,50.0,0.0,7.0,51.0,50.0
50.0,50.0,0.0,6.0,50.0,50.0
50.0,50.0,0.0,5.0,53.0,50.0
50.0,50.0,0.0,4.0,50.0,50.0
50.0,50.0,0.0,3.0,51.0,50.0
50.0,50.0,0.0,2.0,50.0,50.0
50.0,50.0,0.0,1.0,46.0,50.0
50.0,50.0,0.0,-0.0,51.0,50.0
50.0,50.0,0.0,-1.0,50.0,50.0
50.0,50.0,0.0,-2.0,50.0,50.0
50.0,50.0,0.0,-3.0,54.0,50.0
50.0,50.0,0.0,-4.0,59.0,50.0
50.0,50.0,0.0,-5.0,49.0,50.0
50.0,50.0,0.0,-6.0,50.0,50.0
50.0,50.0,0.0,-7.0,50.0,50.0
50.0,50.0,0.0,-8.0,52.0,50.0
50.0,50.0,0.0,-9.0,54.0,50.0
50.0,50.0,0.0,-10.0,47.0,50.0
50.0,50.0,0.0,-11.0,49.0,50.0
50.0,50.0,0.0,-12.0,51.0,50.0
50.0,50.0,0.0,-13.0,46.0,50.0
50.0,50.0,0.0,-14.0,47.0,50.0
50.0,50.0,0.0,-15.0,47.0,50.0
50.0,50.0,0.0,-16.0,56.0,50.0
50.0,50.0,0.0,-17.0,57.0,50.0
50.0,50.0,0.0,-18.0,44.0,50.0
50.0,50.0,0.0,-19.0,51.0,50.0
50.0,50.0,0.0,-20.0,55.0,50.0
50.0,50.0,0.0,-21.0,53.0,50.0
50.0,50.0,0.0,-22.0,60.0,50.0
50.0,50.0,0.0,-23.0,50.0,50.0
50.0,50.0,0.0,-24.0,47.0,50.0
50.0,50.0,0.0,-25.0,52.0,50.0
50.0,50.0,0.0,-26.0,53.0,50.0
50.0,50.0,0.0,-27.0,48.0,50.0
50.0,50.0,0.0,-28.0,50.0,50.0
50.0,50.0,0.0,-29.0,55.0,50.0
50.0,50.0,0.0,-30.0,50.0,50.0
50.0,50.0,0.0,-31.0,49.0,50.0
50.0,50.0,0.0,-32.0,54.0,50.0
50.0,50.0,0.0,-33.0,52.0,50.0
50.0,50.0,0.0,-34.0,54.0,50.0
50.0,50.0,0.0,-35.0,49.0,50.0
50.0,50.0,0.0,-36.0,59.0,50.0
50.0,50.0,0.0,-37.0,59.0,50.0
50.0,50.0,0.0,-38.0,51.0,50.0
50.0,50.0,0.0,-39.0,58.0,50.0
50.0,50.0,0.0,-40.0,52.0,50.0
50.0,50.0,0.0,-41.0,48.0,50.0
50.0,50.0,0.0,-42.0,57.0,50.0
50.0,50.0,0.0,-43.0,50.0,50.0
50.0,50.0,0.0,-44.0,52.0,50.0
50.0,50.0,0.0,-45.0,58.0,50.0
50.0,50.0,0.0,-46.0,59.0,50.00761795043945
50.0,50.0,0.0,-47.0,58.0,50.03047561645508
50.0,50.0,0.0,-48.0,63.0,50.06861877441406
50.0,50.0,0.0,-49.0,62.0,50.122093200683594
50.0,50.0,0.0,-50.0,62.0,50.19099426269531
50.0,50.0,0.0,-51.0,65.0,50.275413513183594
50.0,50.0,0.0,-52.0,60.0,50.375492095947266
50.0,50.0,0.0,-53.0,71.0,50.49137878417969
50.0,50.0,0.0,-54.0,65.0,50.62325668334961
50.0,50.0,0.0,-55.0,59.0,50.771331787109375
50.0,50.0,0.0,-56.0,71.0,50.93583297729492
50.0,50.0,0.0,-57.0,67.0,51.11703109741211
50.0,50.0,0.0,-58.0,71.0,51.31520462036133
50.0,50.0,0.0,-59.0,67.0,51.53068161010742
50.0,50.0,0.0,-60.0,73.0,51.76380920410156
50.0,50.0,0.0,-61.0,72.0,52.01496887207031
50.0,50.0,0.0,-62.0,82.0,52.28458786010742
50.0,50.0,0.0,-63.0,72.0,52.57311248779297
50.0,50.0,0.0,-64.0,75.0,52.88103103637695
50.0,50.0,0.0,-65.0,78.0,53.20888900756836
50.0,50.0,0.0,-66.0,81.0,53.557247161865234
50.0,50.0,0.0,-67.0,78.0,53.926734924316406
50.0,50.0,0.0,-68.0,80.0,54.318016052246094
50.0,50.0,0.0,-69.0,86.0,54.7318115234375
50.0,50.0,0.0,-70.0,90.0,55.16889190673828
50.0,50.0,0.0,-71.0,88.0,55.630096435546875
50.0,50.0,0.0,-72.0,85.0,56.11630630493164
50.0,50.0,0.0,-73.0,88.0,56.62850570678711
50.0,50.0,0.0,-74.0,87.0,57.167701721191406
50.0,50.0,0.0,-75.0,87.0,57.73502731323242
50.0,50.0,0.0,-76.0,85.0,58.331668853759766
50.0,50.0,0.0,-77.0,82.0,58.95891571044922
50.0,50.0,0.0,-78.0,88.0,59.6181640625
50.0,50.0,0.0,-79.0,83.0,60.31089782714844
50.0,50.0,0.0,-80.0,87.0,61.03873062133789
50.0,50.0,0.0,-81.0,84.0,61.80339813232422
50.0,50.0,0.0,-82.0,90.0,62.60678482055664
50.0,50.0,0.0,-83.0,89.0,63.45090866088867
50.0,50.0,0.0,-84.0,79.0,64.33798217773438
50.0,50.0,0.0,-85.0,85.0,65.2703628540039
50.0,50.0,0.0,-86.0,91.0,66.25064849853516
50.0,50.0,0.0,-87.0,85.0,67.28163146972656
50.0,50.0,0.0,-88.0,85.0,68.36637115478516
50.0,50.0,0.0,-89.0,86.0,69.50818634033203
50.0,50.0,0.0,-90.0,85.0,70.71067810058594
