x,y,headinng,sonar_ang,read,expected
50.0,50.0,0.0,90.0,51.0,50.0
50.0,50.0,0.0,89.0,47.0,50.0
50.0,50.0,0.0,88.0,49.0,50.0
50.0,50.0,0.0,87.0,41.0,50.0
50.0,50.0,0.0,86.0,61.0,50.0
50.0,50.0,0.0,85.0,49.0,50.0
50.0,50.0,0.0,84.0,51.0,50.0
50.0,50.0,0.0,83.0,48.0,50.0
50.0,50.0,0.0,82.0,50.0,50.0
50.0,50.0,0.0,81.0,49.0,50.0
50.0,50.0,0.0,80.0,49.0,50.0
50.0,50.0,0.0,79.0,49.0,50.0
50.0,50.0,0.0,78.0,57.0,50.0
50.0,50.0,0.0,77.0,52.0,50.0
50.0,50.0,0.0,76.0,47.0,50.0
50.0,50.0,0.0,75.0,43.0,50.0
50.0,50.0,0.0,74.0,47.0,50.0
50.0,50.0,0.0,73.0,50.0,50.0
50.0,50.0,0.0,72.0,51.0,50.0
50.0,50.0,0.0,71.0,47.0,50.00761795043945
50.0,50.0,0.0,70.0,43.0,50.03047561645508
50.0,50.0,0.0,69.0,65.0,50.06861877441406
50.0,50.0,0.0,68.0,51.0,50.122093200683594
50.0,50.0,0.0,67.0,49.0,50.19099426269531
50.0,50.0,0.0,66.0,51.0,50.275413513183594
50.0,50.0,0.0,65.0,50.0,50.375492095947266
50.0,50.0,0.0,64.0,46.0,50.49137878417969
50.0,50.0,0.0,63.0,51.0,50.62325668334961
50.0,50.0,0.0,62.0,54.0,50.771331787109375
50.0,50.0,0.0,61.0,55.0,50.93583297729492
50.0,50.0,0.0,60.0,54.0,51.11703109741211
50.0,50.0,0.0,59.0,60.0,51.31520462036133
50.0,50.0,0.0,58.0,53.0,51.53068161010742
50.0,50.0,0.0,57.0,54.0,51.76380920410156
50.0,50.0,0.0,56.0,58.0,52.01497268676758
50.0,50.0,0.0,55.0,52.0,52.28458786010742
50.0,50.0,0.0,54.0,56.0,52.57311248779297
50.0,50.0,0.0,53.0,50.0,52.88103485107422
50.0,50.0,0.0,52.0,49.0,53.20888900756836
50.0,50.0,0.0,51.0,58.0,53.5572509765625
50.0,50.0,0.0,50.0,54.0,53.926734924316406
50.0,50.0,0.0,49.0,58.0,54.318016052246094
50.0,50.0,0.0,48.0,56.0,54.7318115234375
50.0,50.0,0.0,47.0,60.0,55.16889572143555
50.0,50.0,0.0,46.0,55.0,55.63010025024414
50.0,50.0,0.0,45.0,60.0,56.116310119628906
50.0,50.0,0.0,44.0,51.0,55.63010025024414
50.0,50.0,0.0,43.0,56.0,55.16889572143555
50.0,50.0,0.0,42.0,56.0,54.7318115234375
50.0,50.0,0.0,41.0,57.0,54.318016052246094
50.0,50.0,0.0,40.0,49.0,53.926734924316406
50.0,50.0,0.0,39.0,57.0,53.5572509765625
50.0,50.0,0.0,38.0,58.0,53.20888900756836
50.0,50.0,0.0,37.0,55.0,52.88103485107422
50.0,50.0,0.0,36.0,48.0,52.57311248779297
50.0,50.0,0.0,35.0,60.0,52.28458786010742
50.0,50.0,0.0,34.0,55.0,52.01497268676758
50.0,50.0,0.0,33.0,55.0,51.76380920410156
50.0,50.0,0.0,32.0,50.0,51.53068161010742
50.0,50.0,0.0,31.0,51.0,51.31520462036133
50.0,50.0,0.0,30.0,50.0,51.11703109741211
50.0,50.0,0.0,29.0,49.0,50.93583297729492
50.0,50.0,0.0,28.0,50.0,50.771331787109375
50.0,50.0,0.0,27.0,49.0,50.62325668334961
50.0,50.0,0.0,26.0,45.0,50.49137878417969
50.0,50.0,0.0,25.0,56.0,50.375492095947266
50.0,50.0,0.0,24.0,58.0,50.275413513183594
50.0,50.0,0.0,23.0,46.0,50.19099426269531
50.0,50.0,0.0,22.0,52.0,50.122093200683594
50.0,50.0,0.0,21.0,48.0,50.06861877441406
50.0,50.0,0.0,20.0,46.0,50.03047561645508
50.0,50.0,0.0,19.0,50.0,50.00761795043945
50.0,50.0,0.0,18.0,46.0,50.0
50.0,50.0,0.0,17.0,58.0,50.0
50.0,50.0,0.0,16.0,45.0,50.0
50.0,50.0,0.0,15.0,53.0,50.0
50.0,50.0,0.0,14.0,51.0,50.0
50.0,50.0,0.0,13.0,54.0,50.0
50.0,50.0,0.0,12.0,54.0,50.0
