x,y,headinng,sonar_ang,read,expected
25.0,25.0,0.0,90.0,24.0,25.0
25.0,25.0,0.0,89.0,24.0,25.0
25.0,25.0,0.0,88.0,24.0,25.0
25.0,25.0,0.0,87.0,24.0,25.0
25.0,25.0,0.0,86.0,24.0,25.0
25.0,25.0,0.0,85.0,24.0,25.0
25.0,25.0,0.0,84.0,24.0,25.0
25.0,25.0,0.0,83.0,24.0,25.0
25.0,25.0,0.0,82.0,24.0,25.0
25.0,25.0,0.0,81.0,24.0,25.0
25.0,25.0,0.0,80.0,24.0,25.0
25.0,25.0,0.0,79.0,24.0,25.0
25.0,25.0,0.0,78.0,24.0,25.0
25.0,25.0,0.0,77.0,24.0,25.0
25.0,25.0,0.0,76.0,24.0,25.0
25.0,25.0,0.0,75.0,24.0,25.0
25.0,25.0,0.0,74.0,24.0,25.0
25.0,25.0,0.0,73.0,24.0,25.0
25.0,25.0,0.0,72.0,24.0,25.0
25.0,25.0,0.0,71.0,24.0,25.0
25.0,25.0,0.0,70.0,24.0,25.0
25.0,25.0,0.0,69.0,24.0,25.0
25.0,25.0,0.0,68.0,24.0,25.0
25.0,25.0,0.0,67.0,24.0,25.0
25.0,25.0,0.0,66.0,24.0,25.0
25.0,25.0,0.0,65.0,24.0,25.003808975219727
25.0,25.0,0.0,64.0,24.0,25.01523780822754
25.0,25.0,0.0,63.0,24.0,25.03430938720703
25.0,25.0,0.0,62.0,24.0,25.061046600341797
25.0,25.0,0.0,61.0,24.0,25.095497131347656
25.0,25.0,0.0,60.0,25.0,25.137706756591797
25.0,25.0,0.0,59.0,25.0,25.187746047973633
25.0,25.0,0.0,58.0,25.0,25.245689392089844
25.0,25.0,0.0,57.0,24.0,25.311628341674805
25.0,25.0,0.0,56.0,24.0,25.385665893554688
25.0,25.0,0.0,55.0,24.0,25.46791648864746
25.0,25.0,0.0,54.0,25.0,25.558515548706055
25.0,25.0,0.0,53.0,25.0,25.657602310180664
25.0,25.0,0.0,52.0,25.0,25.76534080505371
25.0,25.0,0.0,51.0,25.0,25.88190460205078
25.0,25.0,0.0,50.0,25.0,26.00748634338379
25.0,25.0,0.0,49.0,25.0,26.14229393005371
25.0,25.0,0.0,48.0,26.0,26.286556243896484
25.0,25.0,0.0,47.0,28.0,26.44051742553711
25.0,25.0,0.0,46.0,27.0,26.60444450378418
25.0,25.0,0.0,45.0,26.0,26.77862548828125
25.0,25.0,0.0,44.0,25.0,26.60444450378418
25.0,25.0,0.0,43.0,25.0,26.44051742553711
25.0,25.0,0.0,42.0,26.0,26.286556243896484
25.0,25.0,0.0,41.0,30.0,26.14229393005371
25.0,25.0,0.0,40.0,26.0,26.00748634338379
25.0,25.0,0.0,39.0,24.0,25.88190460205078
