sonar_ang, expected
90.0, 25.0
89.0, 25.0
88.0, 25.0
87.0, 25.0
86.0, 25.0
85.0, 25.0
84.0, 25.0
83.0, 25.0
82.0, 25.0
81.0, 25.0
80.0, 25.0
79.0, 25.003808975219727
78.0, 25.01523780822754
77.0, 25.03430938720703
76.0, 25.061046600341797
75.0, 25.095497131347656
74.0, 25.137706756591797
73.0, 25.187746047973633
72.0, 25.245689392089844
71.0, 25.311628341674805
70.0, 25.385665893554688
69.0, 25.46791648864746
68.0, 25.558515548706055
67.0, 25.657602310180664
66.0, 25.76534080505371
65.0, 25.88190460205078
64.0, 26.00748634338379
63.0, 26.14229393005371
62.0, 26.286556243896484
61.0, 26.44051742553711
60.0, 26.60444450378418
59.0, 26.77862548828125
58.0, 26.963367462158203
57.0, 27.159008026123047
56.0, 27.36590576171875
55.0, 27.584447860717773
54.0, 27.81505012512207
53.0, 28.058155059814453
52.0, 28.314250946044922
51.0, 28.583850860595703
50.0, 28.86751365661621
49.0, 29.165834426879883
48.0, 29.479459762573242
47.0, 29.80908203125
46.0, 30.15544891357422
45.0, 30.519365310668945
44.0, 30.15544891357422
43.0, 29.80908203125
42.0, 29.479459762573242
41.0, 29.165834426879883
40.0, 28.86751365661621
39.0, 28.583850860595703
38.0, 28.314250946044922
37.0, 28.058155059814453
36.0, 27.81505012512207
35.0, 27.584447860717773
34.0, 27.36590576171875
33.0, 27.159008026123047
32.0, 26.963367462158203
31.0, 26.77862548828125
30.0, 26.60444450378418
29.0, 26.44051742553711
28.0, 26.286556243896484
27.0, 26.14229393005371
26.0, 26.00748634338379
25.0, 25.88190460205078
24.0, 25.76534080505371
23.0, 25.657602310180664
22.0, 25.558515548706055
21.0, 25.46791648864746
20.0, 25.385665893554688
19.0, 25.311628341674805
18.0, 25.245689392089844
17.0, 25.187746047973633
16.0, 25.137706756591797
15.0, 25.095497131347656
14.0, 25.061046600341797
13.0, 25.03430938720703
12.0, 25.01523780822754
11.0, 25.003808975219727
10.0, 25.0
9.0, 25.0
8.0, 25.0
7.0, 25.0
6.0, 25.0
5.0, 25.0
4.0, 25.0
3.0, 25.0
2.0, 25.0
1.0, 25.0
0.0, 25.0
-1.0, 25.0
-2.0, 25.0
-3.0, 25.0
-4.0, 25.0
-5.0, 25.0
-6.0, 25.0
-7.0, 25.0
-8.0, 25.0
-9.0, 25.0
-10.0, 25.0
-11.0, 25.003808975219727
-12.0, 25.01523780822754
-13.0, 25.03430938720703
-14.0, 25.061046600341797
-15.0, 25.095497131347656
-16.0, 25.137706756591797
-17.0, 25.187746047973633
-18.0, 25.245689392089844
-19.0, 25.311628341674805
-20.0, 25.385665893554688
-21.0, 25.46791648864746
-22.0, 25.558515548706055
-23.0, 25.657602310180664
-24.0, 25.76534080505371
-25.0, 25.88190460205078
-26.0, 26.007484436035156
-27.0, 26.14229393005371
-28.0, 26.286556243896484
-29.0, 26.44051742553711
-30.0, 26.60444450378418
-31.0, 26.778623580932617
-32.0, 26.963367462158203
-33.0, 27.159008026123047
-34.0, 27.36590576171875
-35.0, 27.58444595336914
-36.0, 27.815048217773438
-37.0, 28.05815315246582
-38.0, 28.314252853393555
-39.0, 28.583850860595703
-40.0, 28.86751365661621
-41.0, 29.165834426879883
-42.0, 29.47945785522461
-43.0, 29.80908203125
-44.0, 30.15544891357422
-45.0, 30.519365310668945
-46.0, 30.90169906616211
-47.0, 31.30339241027832
-48.0, 31.725454330444336
-49.0, 32.16899108886719
-50.0, 32.63518142700195
-51.0, 33.12532424926758
-52.0, 33.64081573486328
-53.0, 34.18318557739258
-54.0, 34.754093170166016
-55.0, 35.35533905029297
-56.0, 35.98891067504883
-57.0, 36.656982421875
-58.0, 37.36191177368164
-59.0, 38.106327056884766
-60.0, 38.893096923828125
-61.0, 39.72539520263672
-62.0, 40.60673141479492
-63.0, 41.54100036621094
-64.0, 42.53254318237305
-65.0, 43.5861701965332
-66.0, 44.70729446411133
-67.0, 45.90196228027344
-68.0, 47.17699432373047
-69.0, 48.54009246826172
-70.0, 50.0
-71.0, 51.56664276123047
-72.0, 53.2513542175293
-73.0, 55.067237854003906
-74.0, 57.029296875
-75.0, 59.15503692626953
-76.0, 61.4648323059082
-77.0, 63.98261642456055
-78.0, 66.73667907714844
-79.0, 69.76070404052734
-80.0, 73.0951156616211
-81.0, 76.78883361816406
-82.0, 80.90170288085938
-83.0, 85.5075912475586
-84.0, 90.69888305664062
-85.0, 96.59258270263672
-86.0, 103.33912658691406
-87.0, 111.13528442382812
-88.0, 117.36419677734375
-89.0, 117.00595092773438
-90.0, 116.68531036376953
