sonar_ang, expected
90.0, 30.7174129486084
88.0, 29.960216522216797
86.0, 29.274471282958984
84.0, 28.653335571289062
82.0, 28.091495513916016
80.0, 27.584016799926758
78.0, 27.127622604370117
76.0, 26.71751594543457
74.0, 26.351423263549805
72.0, 26.026405334472656
70.0, 25.740589141845703
68.0, 25.491561889648438
66.0, 25.277782440185547
64.0, 25.0979061126709
62.0, 24.950695037841797
60.0, 24.83540916442871
58.0, 24.75102996826172
56.0, 24.697336196899414
54.0, 24.6738338470459
52.0, 24.67336082458496
50.0, 24.67336082458496
48.0, 24.67336082458496
46.0, 24.67336082458496
44.0, 24.67336082458496
42.0, 24.67336082458496
40.0, 24.67336082458496
38.0, 24.67336082458496
36.0, 24.67336082458496
34.0, 24.67336082458496
32.0, 24.68040657043457
30.0, 24.71712303161621
28.0, 24.78418731689453
26.0, 24.88201904296875
24.0, 25.01119613647461
22.0, 25.17254638671875
20.0, 25.367107391357422
18.0, 25.59609603881836
16.0, 25.861103057861328
14.0, 26.163780212402344
12.0, 26.506498336791992
10.0, 26.891559600830078
8.0, 27.321239471435547
6.0, 27.799753189086914
4.0, 28.330421447753906
2.0, 28.917213439941406
0.0, 29.566293716430664
-2.0, 29.80908203125
-4.0, 29.16583824157715
-6.0, 28.58384895324707
-8.0, 28.058156967163086
-10.0, 27.584447860717773
-12.0, 27.159006118774414
-14.0, 26.77862548828125
-16.0, 26.440515518188477
-18.0, 26.14229393005371
-20.0, 25.88190460205078
-22.0, 25.657602310180664
-24.0, 25.467918395996094
-26.0, 25.311628341674805
-28.0, 25.187746047973633
-30.0, 25.095497131347656
-32.0, 25.03430938720703
-34.0, 25.003808975219727
-36.0, 25.0
-38.0, 25.0
-40.0, 25.0
-42.0, 25.0
-44.0, 25.0
-46.0, 25.0
-48.0, 25.0
-50.0, 25.0
-52.0, 25.0
-54.0, 25.0
-56.0, 25.003808975219727
-58.0, 25.03430938720703
-60.0, 25.095497131347656
-62.0, 25.187746047973633
-64.0, 25.311628341674805
-66.0, 25.46791648864746
-68.0, 25.657602310180664
-70.0, 25.88190460205078
-72.0, 26.14229393005371
-74.0, 26.44051742553711
-76.0, 26.77862548828125
-78.0, 27.159008026123047
-80.0, 27.584447860717773
-82.0, 28.058156967163086
-84.0, 28.583852767944336
-86.0, 29.165834426879883
-88.0, 29.80908203125
-90.0, 30.519365310668945
