sonar_ang,expected
90.0, 25.0
89.0, 25.0
88.0, 25.0
87.0, 25.0
86.0, 25.0
85.0, 25.0
84.0, 25.0
83.0, 25.0
82.0, 25.0
81.0, 25.0
80.0, 25.0
79.0, 25.003808975219727
78.0, 25.01523780822754
77.0, 25.03430938720703
76.0, 25.061046600341797
75.0, 25.095497131347656
74.0, 25.13770866394043
73.0, 25.187746047973633
72.0, 25.245689392089844
71.0, 25.311628341674805
70.0, 25.385665893554688
69.0, 25.46791648864746
68.0, 25.558515548706055
67.0, 25.657602310180664
66.0, 25.76534080505371
65.0, 25.88190460205078
64.0, 26.007484436035156
63.0, 26.14229393005371
62.0, 26.286556243896484
61.0, 26.44051742553711
60.0, 26.60444450378418
59.0, 26.77862548828125
58.0, 26.963367462158203
57.0, 27.159008026123047
56.0, 27.36590576171875
55.0, 27.584447860717773
54.0, 27.81505012512207
53.0, 28.058156967163086
52.0, 28.314252853393555
51.0, 28.583852767944336
50.0, 28.867511749267578
49.0, 29.165834426879883
48.0, 29.479459762573242
47.0, 29.809078216552734
46.0, 30.155447006225586
45.0, 30.519365310668945
44.0, 30.901697158813477
43.0, 31.303396224975586
42.0, 31.725452423095703
41.0, 32.16898727416992
40.0, 32.63518142700195
39.0, 33.12532424926758
38.0, 33.64081573486328
37.0, 34.18318557739258
36.0, 34.75408935546875
35.0, 35.35533905029297
34.0, 35.98891067504883
33.0, 36.65697479248047
32.0, 37.361907958984375
31.0, 38.106327056884766
30.0, 38.893089294433594
29.0, 39.72539520263672
28.0, 40.60673141479492
27.0, 41.54100799560547
26.0, 42.53253936767578
25.0, 43.58617401123047
24.0, 44.70729446411133
23.0, 45.901954650878906
22.0, 47.177001953125
21.0, 48.540096282958984
20.0, 50.0
19.0, 51.56663513183594
18.0, 53.25135803222656
17.0, 55.06723403930664
16.0, 57.029296875
15.0, 59.15503692626953
14.0, 61.46483612060547
13.0, 63.98262023925781
12.0, 66.73667907714844
11.0, 69.76069641113281
10.0, 73.09510803222656
9.0, 76.78883361816406
8.0, 80.90169525146484
7.0, 85.50758361816406
6.0, 90.69888305664062
5.0, 96.59258270263672
4.0, 100.0
3.0, 100.0
2.0, 100.0
1.0, 100.0
0.0, 100.0
-1.0, 100.0
-2.0, 100.0
-3.0, 100.0
-4.0, 100.0
-5.0, 100.0
-6.0, 100.0
-7.0, 100.0
-8.0, 100.0
-9.0, 100.0
-10.0, 100.0
-11.0, 100.0152359008789
-12.0, 100.06095123291016
-13.0, 100.13723754882812
-14.0, 100.24418640136719
-15.0, 100.38198852539062
-16.0, 100.55082702636719
-17.0, 100.75098419189453
-18.0, 100.98275756835938
-19.0, 101.24651336669922
-20.0, 101.54266357421875
-21.0, 101.87166595458984
-22.0, 102.23406219482422
-23.0, 102.63040924072266
-24.0, 103.06136322021484
-25.0, 103.52761840820312
-26.0, 104.02994537353516
-27.0, 104.56917572021484
-28.0, 105.1462173461914
-29.0, 105.76206970214844
-30.0, 106.41777801513672
-31.0, 107.11449432373047
-32.0, 107.85346984863281
-33.0, 108.63603210449219
-34.0, 109.463623046875
-35.0, 110.3377914428711
-36.0, 111.26019287109375
-37.0, 112.23262023925781
-38.0, 113.25701141357422
-39.0, 114.33540344238281
-40.0, 115.47005462646484
-41.0, 116.66334533691406
-42.0, 117.91783905029297
-43.0, 119.236328125
-44.0, 120.62179565429688
-45.0, 122.07746124267578
-46.0, 123.6067886352539
-47.0, 125.21356964111328
-48.0, 126.90181732177734
-49.0, 128.67596435546875
-50.0, 130.5407257080078
-51.0, 132.5012969970703
-52.0, 133.06590270996094
-53.0, 130.68777465820312
-54.0, 128.43162536621094
-55.0, 126.28983306884766
-56.0, 124.25554656982422
-57.0, 122.32243347167969
-58.0, 120.48468017578125
-59.0, 118.73697662353516
-60.0, 117.07437896728516
-61.0, 115.49240112304688
-62.0, 113.98686981201172
-63.0, 112.55393981933594
-64.0, 111.19001770019531
-65.0, 109.89183807373047
-66.0, 108.65634155273438
-67.0, 107.4806900024414
-68.0, 106.36225128173828
-69.0, 105.29859161376953
-70.0, 104.28746795654297
-71.0, 103.32674407958984
-72.0, 102.41446685791016
-73.0, 101.54882049560547
-74.0, 100.72811889648438
-75.0, 99.95076751708984
-76.0, 99.21531677246094
-77.0, 98.52040100097656
-78.0, 97.86476135253906
-79.0, 97.2472152709961
-80.0, 96.66666412353516
-81.0, 96.12211608886719
-82.0, 95.61264038085938
-83.0, 95.13734436035156
-84.0, 94.69546508789062
-85.0, 94.2862548828125
-86.0, 93.90904998779297
-87.0, 93.563232421875
-88.0, 93.24827575683594
-89.0, 92.96363067626953
-90.0, 92.7088851928711
