x,y,headinng,sonar_ang,read,expected
100.0,68.0,-90.0,90.0,59.0,52.906585693359375
100.0,68.0,-90.0,89.0,59.0,54.24528503417969
100.0,68.0,-90.0,88.0,59.0,55.67087936401367
100.0,68.0,-90.0,87.0,59.0,57.19131851196289
100.0,68.0,-90.0,86.0,59.0,58.8155517578125
100.0,68.0,-90.0,85.0,59.0,60.55373764038086
100.0,68.0,-90.0,84.0,59.0,62.417381286621094
100.0,68.0,-90.0,83.0,59.0,64.41962432861328
100.0,68.0,-90.0,82.0,59.0,66.5755386352539
100.0,68.0,-90.0,81.0,59.0,66.70441436767578
100.0,68.0,-90.0,80.0,59.0,66.70441436767578
100.0,68.0,-90.0,79.0,59.0,66.70441436767578
100.0,68.0,-90.0,78.0,59.0,66.70441436767578
100.0,68.0,-90.0,77.0,59.0,66.70441436767578
100.0,68.0,-90.0,76.0,59.0,66.70441436767578
100.0,68.0,-90.0,75.0,59.0,66.70441436767578
100.0,68.0,-90.0,74.0,59.0,66.70441436767578
100.0,68.0,-90.0,73.0,59.0,66.70441436767578
100.0,68.0,-90.0,72.0,59.0,66.70441436767578
100.0,68.0,-90.0,71.0,59.0,66.70441436767578
100.0,68.0,-90.0,70.0,59.0,66.72344970703125
100.0,68.0,-90.0,69.0,60.0,66.76288604736328
100.0,68.0,-90.0,68.0,60.0,66.82272338867188
100.0,68.0,-90.0,67.0,60.0,66.90303802490234
100.0,68.0,-90.0,66.0,60.0,67.00403594970703
100.0,68.0,-90.0,65.0,60.0,67.12576293945312
100.0,68.0,-90.0,64.0,60.0,67.26850128173828
100.0,68.0,-90.0,63.0,60.0,67.43235778808594
100.0,68.0,-90.0,62.0,60.0,67.61776733398438
100.0,68.0,-90.0,61.0,60.0,67.82481384277344
100.0,68.0,-90.0,60.0,60.0,68.05403137207031
100.0,68.0,-90.0,59.0,61.0,68.3055191040039
100.0,68.0,-90.0,58.0,61.0,68.57992553710938
100.0,68.0,-90.0,57.0,61.0,68.87783813476562
100.0,68.0,-90.0,56.0,61.0,69.19918060302734
