x,y,headinng,sonar_ang,read,expected
5.0,68.0,-90.0,-23.0,6.0,5.027541160583496
5.0,68.0,-90.0,-24.0,6.0,5.037549018859863
5.0,68.0,-90.0,-25.0,6.0,5.049138069152832
5.0,68.0,-90.0,-26.0,6.0,5.062325954437256
5.0,68.0,-90.0,-27.0,6.0,5.077133655548096
5.0,68.0,-90.0,-28.0,6.0,5.093583583831787
5.0,68.0,-90.0,-29.0,7.0,5.111702919006348
5.0,68.0,-90.0,-30.0,7.0,5.131520748138428
5.0,68.0,-90.0,-31.0,7.0,5.153069019317627
5.0,68.0,-90.0,-32.0,7.0,5.176380634307861
5.0,68.0,-90.0,-33.0,7.0,5.201496124267578
5.0,68.0,-90.0,-34.0,8.0,5.228459358215332
5.0,68.0,-90.0,-35.0,8.0,5.257312774658203
5.0,68.0,-90.0,-36.0,8.0,5.28810453414917
5.0,68.0,-90.0,-37.0,9.0,5.320887565612793
5.0,68.0,-90.0,-38.0,9.0,5.355724811553955
5.0,68.0,-90.0,-39.0,9.0,5.392674446105957
5.0,68.0,-90.0,-40.0,10.0,5.431799411773682
5.0,68.0,-90.0,-41.0,9.0,5.473181247711182
5.0,68.0,-90.0,-42.0,9.0,5.516888618469238
5.0,68.0,-90.0,-43.0,9.0,5.5630083084106445
5.0,68.0,-90.0,-44.0,9.0,5.611632823944092
5.0,68.0,-90.0,-45.0,9.0,5.6628499031066895
5.0,68.0,-90.0,-46.0,9.0,5.716770648956299
5.0,68.0,-90.0,-47.0,9.0,5.773505687713623
5.0,68.0,-90.0,-48.0,9.0,5.83316707611084
5.0,68.0,-90.0,-49.0,9.0,5.895894527435303
5.0,68.0,-90.0,-50.0,255.0,5.961817264556885
5.0,68.0,-90.0,-51.0,255.0,6.031089782714844
5.0,68.0,-90.0,-52.0,255.0,6.103872776031494
5.0,68.0,-90.0,-53.0,255.0,6.18034029006958
5.0,68.0,-90.0,-54.0,255.0,6.260677337646484
5.0,68.0,-90.0,-55.0,255.0,6.345089435577393
5.0,68.0,-90.0,-56.0,255.0,6.433797836303711
5.0,68.0,-90.0,-57.0,255.0,6.527037143707275
5.0,68.0,-90.0,-58.0,255.0,6.62506628036499
5.0,68.0,-90.0,-59.0,255.0,6.7281622886657715
5.0,68.0,-90.0,-60.0,255.0,6.836636543273926
5.0,68.0,-90.0,-61.0,255.0,6.95081901550293
5.0,68.0,-90.0,-62.0,255.0,7.071067810058594
5.0,68.0,-90.0,-63.0,255.0,7.197782039642334
5.0,68.0,-90.0,-64.0,255.0,7.331395626068115
5.0,68.0,-90.0,-65.0,255.0,7.472382545471191
5.0,68.0,-90.0,-66.0,255.0,7.621265888214111
5.0,68.0,-90.0,-67.0,255.0,7.778618335723877
5.0,68.0,-90.0,-68.0,255.0,7.945080280303955
5.0,68.0,-90.0,-69.0,255.0,8.121349334716797
5.0,68.0,-90.0,-70.0,255.0,8.308199882507324
5.0,68.0,-90.0,-71.0,255.0,8.50650691986084
5.0,68.0,-90.0,-72.0,255.0,8.717233657836914
5.0,68.0,-90.0,-73.0,255.0,8.941460609436035
5.0,68.0,-90.0,-74.0,255.0,9.18039321899414
5.0,68.0,-90.0,-75.0,69.0,9.43540096282959
5.0,68.0,-90.0,-76.0,69.0,9.70801830291748
5.0,68.0,-90.0,-77.0,68.0,9.999998092651367
5.0,68.0,-90.0,-78.0,67.0,10.313328742980957
5.0,68.0,-90.0,-79.0,68.0,10.650269508361816
5.0,68.0,-90.0,-80.0,67.0,11.013446807861328
5.0,68.0,-90.0,-81.0,67.0,11.405862808227539
5.0,68.0,-90.0,-82.0,67.0,11.831007957458496
5.0,68.0,-90.0,-83.0,67.0,12.292969703674316
5.0,68.0,-90.0,-84.0,66.0,12.796524047851562
5.0,68.0,-90.0,-85.0,66.0,13.347335815429688
5.0,68.0,-90.0,-86.0,66.0,13.952142715454102
5.0,68.0,-90.0,-87.0,65.0,14.619023323059082
5.0,68.0,-90.0,-88.0,65.0,15.357769966125488
5.0,68.0,-90.0,-89.0,65.0,16.18033790588379
5.0,68.0,-90.0,-90.0,65.0,17.10151481628418
